method,horizon_days,drains,failures,protected_failures,ppr,evaluable_drains,true_drains,false_drains,censored_drains,non_failure_drain_rate
periodic-7,7,6171,1030,43,0.04174757281553398,6030,43,5987,141,0.9928689883913765
periodic-7,30,6171,1030,192,0.18640776699029127,5656,192,5464,515,0.9660537482319661
threshold,7,6436,1030,64,0.062135922330097085,6287,64,6223,149,0.9898202640369016
threshold,30,6436,1030,221,0.2145631067961165,5845,221,5624,591,0.9621899059024808
autopilot,7,6314,1030,59,0.05728155339805825,6160,59,6101,154,0.9904220779220779
autopilot,30,6314,1030,208,0.20194174757281552,5744,208,5536,570,0.9637883008356546
no-persistent-memory,7,6314,1030,59,0.05728155339805825,6160,59,6101,154,0.9904220779220779
no-persistent-memory,30,6314,1030,208,0.20194174757281552,5743,208,5535,571,0.9637819954727495
reactive,7,1030,1030,0,0.0,,,,,
reactive,30,1030,1030,0,0.0,,,,,
oracle,7,1030,1030,1030,1.0,1030,1030,0,0,0.0
oracle,30,1030,1030,1030,1.0,1030,1030,0,0,0.0
