method,cohort,traces,failures,drains,false_drains,protected,ppr,udr
autopilot,critical-failure,20000,20000,20000,0,20000,1.0,0.0
autopilot,double-noise,20000,0,20000,20000,0,0.0,1.0
autopilot,intermittent-failure,20000,20000,20000,0,20000,1.0,0.0
autopilot,single-noise,20000,0,0,0,0,0.0,0.0
autopilot,sustained-failure,20000,20000,20000,0,20000,1.0,0.0
no-confirmation,critical-failure,20000,20000,20000,0,20000,1.0,0.0
no-confirmation,double-noise,20000,0,20000,20000,0,0.0,1.0
no-confirmation,intermittent-failure,20000,20000,20000,0,20000,1.0,0.0
no-confirmation,single-noise,20000,0,20000,20000,0,0.0,1.0
no-confirmation,sustained-failure,20000,20000,20000,0,20000,1.0,0.0
no-persistent-memory,critical-failure,20000,20000,20000,0,20000,1.0,0.0
no-persistent-memory,double-noise,20000,0,20000,20000,0,0.0,1.0
no-persistent-memory,intermittent-failure,20000,20000,20000,0,0,0.0,0.0
no-persistent-memory,single-noise,20000,0,0,0,0,0.0,0.0
no-persistent-memory,sustained-failure,20000,20000,20000,0,20000,1.0,0.0
oracle,critical-failure,20000,20000,20000,0,20000,1.0,0.0
oracle,double-noise,20000,0,0,0,0,0.0,0.0
oracle,intermittent-failure,20000,20000,20000,0,20000,1.0,0.0
oracle,single-noise,20000,0,0,0,0,0.0,0.0
oracle,sustained-failure,20000,20000,20000,0,20000,1.0,0.0
periodic-2,critical-failure,20000,20000,20000,0,20000,1.0,0.0
periodic-2,double-noise,20000,0,20000,20000,0,0.0,1.0
periodic-2,intermittent-failure,20000,20000,20000,0,20000,1.0,0.0
periodic-2,single-noise,20000,0,20000,20000,0,0.0,1.0
periodic-2,sustained-failure,20000,20000,20000,0,20000,1.0,0.0
periodic-4,critical-failure,20000,20000,0,0,0,0.0,0.0
periodic-4,double-noise,20000,0,0,0,0,0.0,0.0
periodic-4,intermittent-failure,20000,20000,20000,0,20000,1.0,0.0
periodic-4,single-noise,20000,0,0,0,0,0.0,0.0
periodic-4,sustained-failure,20000,20000,20000,0,0,0.0,0.0
reactive,critical-failure,20000,20000,20000,0,0,0.0,0.0
reactive,double-noise,20000,0,0,0,0,0.0,0.0
reactive,intermittent-failure,20000,20000,20000,0,0,0.0,0.0
reactive,single-noise,20000,0,0,0,0,0.0,0.0
reactive,sustained-failure,20000,20000,20000,0,0,0.0,0.0
threshold,critical-failure,20000,20000,20000,0,20000,1.0,0.0
threshold,double-noise,20000,0,20000,20000,0,0.0,1.0
threshold,intermittent-failure,20000,20000,20000,0,20000,1.0,0.0
threshold,single-noise,20000,0,20000,20000,0,0.0,1.0
threshold,sustained-failure,20000,20000,20000,0,20000,1.0,0.0
